Market,Period,Product,$2,B$2,AP.$2,U2,BU2,AP.U2,E21,BE2,AP.E21,%A1,%$.AP,PRC.E,PRC.BE,ACHY.$,ACHY.U,ACHY.E,%$.AP.YA,ACYAG.PRCE,ACYAG.PRCBE,ACHY.B$,ACHY.AP$,ACHY.BU,ACHY.APU,ACHY.BE,ACHY.E,ACHY.APE,%A1.AY
WMTTL.CTA,OCT2817.1,NS.083409,4513414,4681537,2342996,449377,431986,262180,29019520,28463264,15328791,100,51.91,0.16,0.16,153081,48405,3143347,45.29,-0.01,0,182002,2054456,19712,231291,1835013,3143347,13496798,0
WMTTL.CTA,NOV0417.1,NS.083409,4934930,4834479,2640508,490510,443330,295075,32049801,29634368,17355941,100,53.51,0.15,0.16,148457,46728,3560245,49.36,-0.01,-0.01,371733,2441859,33304,269024,3197364,3560245,16062364,0
WMTTL.CTA,NOV1117.1,NS.083409,4994001,5056779,2722219,497004,458409,304395,32839186,31301353,17926438,100,54.51,0.15,0.16,384279,66830,5348428,50.97,-0.02,-0.01,538961,2558894,44246,277628,4531280,5348428,16824412,0
WMTTL.CTA,OCT2117.1,NS.083309,2139998,2092201,102106,271116,264983,11178,19692616,19120324,1010611,100,4.77,0.11,0.11,-56649,-2827,-116632,-2.65,0,0,-74758,-60939,-2775,-9498,-213669,-116632,-606875,0
WMTTL.CTA,OCT2817.1,NS.083309,2126337,2105627,118082,270612,266604,12524,19615297,19295243,1165831,100,5.55,0.11,0.11,-61945,-991,-239393,-2.03,0,0,-52485,-47931,-174,-7349,59561,-239393,-587284,0
WMTTL.CTA,NOV0417.1,NS.083309,2231208,2094767,132710,282993,264805,14319,20620674,19166708,1306695,100,5.95,0.11,0.11,-139888,-11367,-884157,-2.12,0,0,-68336,-58523,-2961,-9120,-80320,-884157,-701677,0
WMTTL.CTA,NOV1117.1,NS.083309,2224079,2143329,114729,282140,271564,12348,20515183,19630269,1121577,100,5.16,0.11,0.11,-33176,2083,188966,-1.17,0,0,-12818,-28087,4658,-4895,398444,188966,-371162,0
WMTTL.CTA,OCT2117.1,NS.158673,1257276,1248344,814104,118295,112949,75819,6714677,6232091,4544598,100,64.75,0.19,0.2,65487,10818,804879,62.51,-0.01,0,36585,787348,4137,72977,237464,804879,4398933,0
WMTTL.CTA,OCT2817.1,NS.158673,1373519,1218510,856152,133316,110239,79430,7313264,6151346,4784088,100,62.33,0.19,0.2,161800,24007,1309062,58.95,-0.01,0,41310,815113,4887,74824,326124,1309062,4570413,0
WMTTL.CTA,NOV0417.1,NS.158673,1395724,1218314,867143,133977,114927,80505,7436244,6365791,4845863,100,62.13,0.19,0.19,161161,23257,1316991,59.85,-0.01,-0.01,55100,838982,10020,77857,599388,1316991,4696546,0
WMTTL.CTA,NOV1117.1,NS.158673,1399775,1168285,115405,133702,111202,10639,7476231,6132259,660543,100,8.24,0.19,0.19,161678,20975,1341077,6.76,-0.01,-0.01,7746,97053,8087,8650,400795,1341077,555712,0
WMTTL.CTA,OCT2117.1,NS.122345,8296325,8825491,1079564,719278,762462,97567,41064137,43442552,5788800,100,13.01,0.2,0.2,581224,24291,2836636,4.46,0,0,1411650,419537,86769,34680,6308924,2836636,2336877,0
WMTTL.CTA,OCT2817.1,NS.122345,8284538,8658275,1147269,713880,747648,101722,41490523,42635133,6239540,100,13.85,0.2,0.2,509448,41912,4566120,6.52,-0.01,0,1133119,577202,67791,48930,5148919,4566120,3447740,0
WMTTL.CTA,NOV0417.1,NS.122345,8444049,8600724,785274,723383,742158,69279,42225538,42392836,4272792,100,9.3,0.2,0.2,80647,1112,2417247,2.6,-0.01,-0.01,652225,225084,55749,18144,4454721,2417247,1503251,0
WMTTL.CTA,NOV1117.1,NS.122345,8406019,8497243,505072,721644,731121,46154,42189468,41898226,2760077,100,6.01,0.2,0.2,209596,14631,2936269,-2.17,-0.01,-0.01,420490,-165175,38617,-12539,3523459,2936269,-611199,0
WMTTL.CTA,OCT2117.1,NS.081495,2198476,2180211,849778,301115,285593,127076,21013424,19996718,8706477,100,38.65,0.1,0.11,-56510,-42158,-1534596,-47.57,0,-0.01,75599,-1094518,7459,-160096,1782786,-1534596,-11454914,0
WMTTL.CTA,OCT2817.1,NS.081495,2115188,2182990,790966,288684,285709,117422,20054341,20004117,8063129,100,37.39,0.11,0.11,1245,-15514,-162273,-44.94,0,-0.01,40102,-949587,2215,-121390,1450414,-162273,-9251633,0
WMTTL.CTA,NOV0417.1,NS.081495,2272508,2165610,764507,310270,284147,116772,21514930,19830317,7835138,100,33.64,0.11,0.11,-53827,-19670,-443947,-47.12,0,-0.01,47555,-1114344,5700,-136352,1539177,-443947,-10611447,0
WMTTL.CTA,NOV1117.1,NS.081495,2231913,2172486,732964,305188,285836,112268,20947583,19896221,7427279,100,32.84,0.11,0.11,42729,-5697,413241,-32.36,0,-0.01,70140,-694361,8349,-87749,1716140,413241,-6575412,0
WMTTL.CTA,OCT2117.1,NS.163594,798501,780391,38665,124756,122418,5332,5132965,4998157,254846,100,4.84,0.16,0.16,-30491,-9447,22682,0.1,-0.01,-0.01,-28743,-646,-8630,-609,50907,22682,-13974,0
WMTTL.CTA,OCT2817.1,NS.163594,786005,800453,37547,123075,126059,6964,5068941,5121824,247374,100,4.78,0.16,0.16,-27642,-7673,46649,0.75,-0.01,-0.01,-28617,4793,-8164,2617,49402,46649,16516,0
WMTTL.CTA,NOV0417.1,NS.163594,849184,785756,40992,132584,123671,7934,5487603,5028672,267371,100,4.83,0.15,0.16,-58482,-13658,-109239,1.12,-0.01,-0.01,-42945,7363,-9465,3228,-40037,-109239,29006,0
WMTTL.CTA,NOV1117.1,NS.163594,830409,798900,34640,130124,125559,7573,5361505,5117898,224577,100,4.17,0.15,0.16,-21595,-7061,159874,1.18,-0.01,-0.01,-16305,9157,-6831,3720,144403,159874,43286,0
WMTTL.CTA,OCT2117.1,NS.157335,1790423,1780264,404838,191172,175511,89873,6606536,6449620,1397056,100,22.61,0.27,0.28,25650,2222,133289,1.51,0,0,-33442,32373,-7836,8324,-74408,133289,88305,0
WMTTL.CTA,OCT2817.1,NS.157335,1699691,1783710,367035,178364,175327,81433,6275382,6457715,1258620,100,21.59,0.27,0.28,-66318,-10290,-145266,-0.08,0,0,-47773,-15756,-8329,-2979,-116456,-145266,-95039,0
WMTTL.CTA,NOV0417.1,NS.157335,1881587,1770553,438686,194733,174170,90870,6949413,6415319,1508008,100,23.31,0.27,0.28,-206258,-30965,-647581,-0.23,0,-0.01,-61280,-52926,-9356,-15131,-92552,-647581,-236176,0
WMTTL.CTA,NOV1117.1,NS.157335,1880022,1743972,470641,194583,173487,93155,6941412,6319996,1621317,100,25.03,0.27,0.28,-102377,-23656,-286697,0.63,0,-0.01,-100021,-13224,-10377,-12998,-229991,-286697,-116824,0
WMTTL.CTA,OCT2117.1,NS.166464,3919371,3982439,624665,369841,355920,135495,13546770,13592097,2015324,100,15.94,0.29,0.29,153251,8693,153632,0.81,0.01,0.01,153265,54930,1308,10985,137117,153632,105183,0
WMTTL.CTA,OCT2817.1,NS.166464,3881333,4037884,603490,364968,359848,131840,13420546,13813156,1939171,100,15.55,0.29,0.29,112419,7462,152006,0.29,0.01,0.01,194452,28274,6227,5041,326825,152006,3249,0
WMTTL.CTA,NOV0417.1,NS.166464,4203768,3970933,627290,394260,356527,139237,14558105,13555426,2017532,100,14.92,0.29,0.29,-136907,-20889,-728134,-2.79,0,0,12195,-141649,-546,-19308,-163223,-728134,-594595,0
WMTTL.CTA,NOV1117.1,NS.166464,4205083,3976495,637786,396720,356514,141868,14571565,13586792,2054661,100,15.17,0.29,0.29,-8178,-9043,-279769,-2.66,0,0,32238,-113306,-1016,-15162,-21369,-279769,-525956,0
WMTTL.CTA,OCT2117.1,NS.085397,176558,145436,125931,20541,17614,11711,613917,463019,459522,97,71.33,0.29,0.31,-30224,-727,-69572,70.26,-0.01,0.01,-61775,123724,-3997,11468,-220237,-69572,451476,0
WMTTL.CTA,OCT2817.1,NS.085397,187048,142105,124994,22101,17189,11608,647722,455877,455601,97,66.82,0.29,0.31,-27119,-38,-59852,65.58,-0.01,0.01,-74377,122331,-5221,11221,-257990,-59852,446006,0
WMTTL.CTA,NOV0417.1,NS.085397,195020,140029,94254,22947,17548,8789,676123,460306,343501,98,48.33,0.29,0.3,-27683,243,-60072,47.6,-0.01,0,-66832,92629,-3869,8610,-222175,-60072,337649,0
WMTTL.CTA,NOV1117.1,NS.085397,208623,129580,65651,24868,16618,6143,720822,431428,239372,97,31.47,0.29,0.3,-15160,1227,-16753,30.13,-0.01,0,-81724,62662,-4643,5743,-265884,-16753,227617,-1
FMLYDLCTA,OCT2117.1,NS.083336,770533,755308,141480,115196,113982,19127,8023156,7846206,1588430,100,18.36,0.1,0.1,81524,8594,855309,9.22,0,0,88903,78486,11152,9808,935167,855309,892993,0
